ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod_add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,first_flr_sf,second_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,three_season_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,mo_sold,year_sold,sale_type,sale_condition,sale_price,longitude,latitude
ONE_STORY_1946_AND_NEWER_ALL_STYLES,RESIDENTIAL_LOW_DENSITY,65,8450,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,NORTH_AMES,NORM,NORM,ONEFAM,ONE_STORY,AVERAGE,ABOVE_AVERAGE,1968,1968,GABLE,COMPSHG,VINYLSD,VINYLSD,NONE,0,TYPICAL,TYPICAL,CBLOCK,TYPICAL,TYPICAL,NO,BLQ,2,UNF,0,281,1056,GASA,EXCELLENT,Y,SBRKR,1056,0,0,1056,1,0,1,0,3,1,TYPICAL,6,TYP,1,FAIR,ATTCHD,UNF,1,304,TYPICAL,TYPICAL,PAVED,0,85,184,0,0,0,NO_POOL,NO_FENCE,NONE,7,2010,WD,NORMAL,142000,-93.628806,42.055227
ONE_STORY_PUD_1946_AND_NEWER,RESIDENTIAL_LOW_DENSITY,53,4043,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,NORTHPARK_VILLA,NORM,NORM,TWNHSE,ONE_STORY,ABOVE_AVERAGE,AVERAGE,1977,1977,GABLE,COMPSHG,PLYWOOD,PLYWOOD,NONE,0,TYPICAL,TYPICAL,CBLOCK,GOOD,TYPICAL,NO,ALQ,1,UNF,0,709,1069,GASA,TYPICAL,Y,SBRKR,1069,0,0,1069,0,0,2,0,2,1,TYPICAL,4,TYP,1,FAIR,ATTCHD,RFN,2,440,TYPICAL,TYPICAL,PAVED,0,55,0,0,165,0,NO_POOL,NO_FENCE,NONE,7,2010,WD,NORMAL,127500,-93.627232,42.049672
TWO_STORY_PUD_1946_AND_NEWER,RESIDENTIAL_LOW_DENSITY,24,2280,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,NORTHPARK_VILLA,NORM,NORM,TWNHS,TWO_STORY,ABOVE_AVERAGE,AVERAGE,1978,1978,GABLE,COMPSHG,PLYWOOD,BRK_CMN,NONE,0,TYPICAL,TYPICAL,CBLOCK,GOOD,TYPICAL,NO,ALQ,1,UNF,0,544,855,GASA,FAIR,Y,SBRKR,855,601,0,1456,0,0,2,1,3,1,TYPICAL,7,TYP,1,TYPICAL,ATTCHD,UNF,2,440,TYPICAL,TYPICAL,PAVED,26,0,0,0,0,0,NO_POOL,NO_FENCE,NONE,7,2010,WD,NORMAL,146000,-93.625848,42.049811
ONE_STORY_1946_AND_NEWER_ALL_STYLES,RESIDENTIAL_LOW_DENSITY,0,19900,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,NORTH_AMES,POSA,NORM,ONEFAM,ONE_STORY,GOOD,AVERAGE,1970,1989,GABLE,COMPSHG,PLYWOOD,PLYWOOD,BRKFACE,287,TYPICAL,TYPICAL,CBLOCK,GOOD,TYPICAL,GD,GLQ,3,UNF,0,1035,1947,GASA,TYPICAL,Y,SBRKR,2207,0,0,2207,1,0,2,0,3,1,TYPICAL,7,MIN1,1,GOOD,ATTCHD,RFN,2,576,TYPICAL,TYPICAL,PAVED,301,0,0,0,0,0,NO_POOL,NO_FENCE,NONE,7,2010,WD,NORMAL,180000,-93.614307,42.049514
TWO_FAMILY_CONVERSION_ALL_STYLES_AND_AGES,RESIDENTIAL_MEDIUM_DENSITY,70,5600,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,IOWA_DOT_AND_RAIL_ROAD,NORM,NORM,TWOFMCON,TWO_STORY,BELOW_AVERAGE,AVERAGE,1930,1950,HIP,COMPSHG,VINYLSD,WD_SHNG,NONE,0,FAIR,FAIR,SLAB,NO_BASEMENT,NO_BASEMENT,NO_BASEMENT,NO_BASEMENT,5,NO_BASEMENT,0,0,0,GASA,FAIR,N,SBRKR,372,720,0,1092,0,0,2,0,3,2,FAIR,7,MOD,0,NO_FIREPLACE,NO_GARAGE,NO_GARAGE,0,0,NO_GARAGE,NO_GARAGE,DIRT_GRAVEL,0,0,0,0,0,0,NO_POOL,NO_FENCE,OTHR,7,2010,WD,NORMAL,55000,-93.626876,42.024141
SPLIT_FOYER,RESIDENTIAL_LOW_DENSITY,82,11105,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,CORNER,GTL,COLLEGE_CREEK,NORM,NORM,ONEFAM,SFOYER,AVERAGE,AVERAGE,1996,1996,GABLE,COMPSHG,VINYLSD,VINYLSD,NONE,0,TYPICAL,GOOD,PCONC,GOOD,FAIR,AV,GLQ,3,UNF,0,0,870,GASA,GOOD,Y,SBRKR,965,0,0,965,1,0,1,0,2,1,TYPICAL,4,TYP,0,NO_FIREPLACE,ATTCHD,UNF,2,580,GOOD,TYPICAL,PAVED,71,0,0,0,0,0,NO_POOL,GOOD_PRIVACY,NONE,7,2010,WD,NORMAL,159000,-93.69188,42.021321
TWO_FAMILY_CONVERSION_ALL_STYLES_AND_AGES,RESIDENTIAL_LOW_DENSITY,60,12180,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,EDWARDS,NORM,NORM,TWOFMCON,ONE_AND_HALF_FIN,BELOW_AVERAGE,BELOW_AVERAGE,1941,1950,GABLE,COMPSHG,METALSD,METALSD,NONE,0,TYPICAL,FAIR,BRKTIL,GOOD,TYPICAL,NO,BLQ,2,UNF,0,324,672,GRAV,FAIR,N,FUSEA,672,252,0,924,1,0,1,0,2,1,FAIR,5,TYP,0,NO_FIREPLACE,DETCHD,UNF,1,280,TYPICAL,TYPICAL,PAVED,0,0,0,0,0,0,NO_POOL,MINIMUM_PRIVACY,NONE,7,2010,WD,NORMAL,80000,-93.660168,42.021583
ONE_AND_HALF_STORY_FINISHED_ALL_AGES,RESIDENTIAL_LOW_DENSITY,78,10452,PAVE,NO_ALLEY_ACCESS,SLIGHTLY_IRREGULAR,LVL,ALLPUB,INSIDE,GTL,CRAWFORD,NORM,NORM,ONEFAM,ONE_AND_HALF_FIN,GOOD,ABOVE_AVERAGE,1941,1985,GABLE,COMPSHG,WD_SDNG,WD_SDNG,BRKFACE,371,GOOD,GOOD,BRKTIL,GOOD,TYPICAL,NO,ALQ,1,BLQ,252,850,1528,GASA,EXCELLENT,Y,SBRKR,1225,908,0,2133,1,0,1,1,4,1,TYPICAL,8,TYP,2,TYPICAL,ATTCHD,UNF,1,312,TYPICAL,TYPICAL,PAVED,0,0,86,0,0,0,NO_POOL,NO_FENCE,NONE,7,2010,WD,NORMAL,257500,-93.640041,42.016226
ONE_STORY_1946_AND_NEWER_ALL_STYLES,RESIDENTIAL_HIGH_DENSITY,80,11622,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,NORTH_AMES,FEEDR,NORM,ONEFAM,ONE_STORY,AVERAGE,ABOVE_AVERAGE,1961,1961,GABLE,COMPSHG,VINYLSD,VINYLSD,NONE,0,TYPICAL,TYPICAL,CBLOCK,TYPICAL,TYPICAL,NO,REC,6,LWQ,144,270,882,GASA,TYPICAL,Y,SBRKR,896,0,0,896,0,0,1,0,2,1,TYPICAL,5,TYP,0,NO_FIREPLACE,ATTCHD,UNF,1,730,TYPICAL,TYPICAL,PAVED,140,0,0,0,120,0,NO_POOL,MINIMUM_PRIVACY,NONE,6,2010,WD,NORMAL,105000,-93.619756,42.053014
ONE_STORY_1946_AND_NEWER_ALL_STYLES,RESIDENTIAL_LOW_DENSITY,81,14267,PAVE,NO_ALLEY_ACCESS,SLIGHTLY_IRREGULAR,LVL,ALLPUB,CORNER,GTL,NORTH_AMES,NORM,NORM,ONEFAM,ONE_STORY,ABOVE_AVERAGE,ABOVE_AVERAGE,1958,1958,HIP,COMPSHG,WD_SDNG,WD_SDNG,BRKFACE,108,TYPICAL,TYPICAL,CBLOCK,TYPICAL,TYPICAL,NO,ALQ,1,UNF,0,406,1329,GASA,TYPICAL,Y,SBRKR,1329,0,0,1329,0,0,1,1,3,1,GOOD,6,TYP,0,NO_FIREPLACE,ATTCHD,UNF,1,312,TYPICAL,TYPICAL,PAVED,393,36,0,0,0,0,NO_POOL,NO_FENCE,GAR2,6,2010,WD,NORMAL,172000,-93.6193873,42.052659
